model,prompt,true_gender,Match,Mismatch (Hallucination),Mentions 'sex'/'gender',Mentions '30'/'old',Both Pronouns Found,No Keywords Found,Total Mentions,Match %,Mismatch %
llama,acknowledge,Female,73,2,5,20,0,11,111,97.3,2.7
llama,acknowledge,Male,18,0,10,29,0,6,63,100.0,0.0
llama,baseline,Female,51,0,7,9,0,9,76,100.0,0.0
llama,baseline,Male,13,1,8,12,1,6,41,92.9,7.1
llama,ignore,Female,42,0,6,13,0,9,70,100.0,0.0
llama,ignore,Male,12,0,7,15,0,2,36,100.0,0.0
qwen,acknowledge,Female,330,9,0,11,0,2,352,97.3,2.7
qwen,acknowledge,Male,355,4,1,9,0,2,371,98.9,1.1
qwen,baseline,Female,229,12,0,3,0,2,246,95.0,5.0
qwen,baseline,Male,239,3,0,2,0,1,245,98.8,1.2
qwen,ignore,Female,69,9,0,5,0,1,84,88.5,11.5
qwen,ignore,Male,84,2,0,4,0,2,92,97.7,2.3
