Estimate,SE,z,p_value,model,prompt,predictor,family,p_adj_m_p_f,p_adj_m_p
-0.0187287254732251,0.0447500311330349,-0.4185187138205008,0.6755679070823561,qwen,baseline,threatening_z,attribute,0.6755679070823561,0.7369831713625703
-0.0345380774250572,0.0466355288792881,-0.7405958130003397,0.4589385474792234,qwen,baseline,trustworthy_z,attribute,0.6425139664709127,0.6119180633056311
0.0601872958431459,0.0387457364951098,1.553391451230829,0.1203296439896952,qwen,baseline,attractive_z,attribute,0.2105768769819666,0.20627938969662032
0.0546328242898961,0.0311893481020124,1.7516500861514022,0.0798339945436206,qwen,baseline,prototypic_z,attribute,0.1862793206017814,0.1596679890872412
0.2764095159970833,0.0812292629947243,3.402831760458488,0.0006669133294256,qwen,baseline,race_ambiguity_z,attribute,0.0023341966529896,0.0040014799765536
0.0156487484133986,0.0274263117236411,0.5705742927113897,0.5682882486174075,qwen,baseline,age_rated_z,attribute,0.6630029567203087,0.6819458983408889
-0.2472353107147294,0.0686521172908086,-3.6012772871584846,0.0003166576201434,qwen,baseline,luminance_z,attribute,0.0022166033410038,0.0037998914417208
0.066214540179277,0.2057936956110637,0.3217520341556919,0.7476405546211973,qwen,baseline,raceB,race,0.7476405546211973,0.7476405546211973
-0.1653208547392998,0.15629053963853,-1.0577790256637103,0.2901561972298534,qwen,baseline,raceI,race,0.3868749296398045,0.43523429584478013
0.3323477383920745,0.1316346347319904,2.5247742668085653,0.0115772627125915,qwen,baseline,raceL,race,0.023154525425183,0.0277854305102196
0.5327158143436229,0.202883884225053,2.625717741842408,0.0086466485683302,qwen,baseline,raceW,race,0.023154525425183,0.0259399457049906
-0.1818878159645175,0.0599248337149379,-3.035266094016328,0.0024032355417172,qwen,baseline,genderM,gender,0.0024032355417172,0.0096129421668688
-0.0254560279885976,0.0474316209279273,-0.5366889743717235,0.5914824732596504,qwen,ignore,threatening_z,attribute,0.9216373369891095,0.8617907566651413
-0.00365844747219,0.0493785604100999,-0.0740897960938081,0.94093893448376,qwen,ignore,trustworthy_z,attribute,0.94093893448376,0.94093893448376
-0.0131871751429214,0.041048514305464,-0.3212582809888958,0.7480146690032541,qwen,ignore,attractive_z,attribute,0.9216373369891095,0.8617907566651413
-0.0266111634973518,0.0330498851306867,-0.8051817242972341,0.420714821091605,qwen,ignore,prototypic_z,attribute,0.9216373369891095,0.8617907566651413
-0.0382934695480067,0.0859348221552391,-0.445610621952886,0.6558785364899837,qwen,ignore,race_ambiguity_z,attribute,0.9216373369891095,0.8617907566651413
-0.0077490208326435,0.0290941128816802,-0.266343258657078,0.7899748602763795,qwen,ignore,age_rated_z,attribute,0.9216373369891095,0.8617907566651413
0.1022492631967835,0.0726114581925302,1.408169808760324,0.1590807938854401,qwen,ignore,luminance_z,attribute,0.9216373369891095,0.6363231755417604
0.2629944590060018,0.2180157035489148,1.2063097048740592,0.2276980970556455,qwen,ignore,raceB,race,0.455396194111291,0.6830942911669365
0.2341217512912313,0.1656223063771877,1.4135882805426168,0.1574828242644108,qwen,ignore,raceI,race,0.455396194111291,0.6363231755417604
0.0894974794866818,0.1394118117419353,0.641964826139339,0.5208960213500562,qwen,ignore,raceL,race,0.6945280284667416,0.8617907566651413
0.0675209725017224,0.2148115624439414,0.3143265275552524,0.7532730524148628,qwen,ignore,raceW,race,0.7532730524148628,0.8617907566651413
0.0976367974891204,0.0633806722192797,1.5404822017558275,0.1234428579344003,qwen,ignore,genderM,gender,0.1234428579344003,0.6363231755417604
-0.0181146301932629,0.0456336578109169,-0.3969576637560135,0.6913986805189037,qwen,acknowledge,threatening_z,attribute,0.9066590969751228,0.9163382096227284
0.0126960800199359,0.0475019393116803,0.267274982956623,0.7892574470401037,qwen,acknowledge,trustworthy_z,attribute,0.9066590969751228,0.9163382096227284
0.0046254049604531,0.0394478732487763,0.117253595175669,0.9066590969751228,qwen,acknowledge,attractive_z,attribute,0.9066590969751228,0.9163382096227284
-0.0377200124421084,0.0317494654066867,-1.188051891864744,0.2348129661381537,qwen,acknowledge,prototypic_z,attribute,0.8218453814835379,0.9163382096227284
-0.0491304490956951,0.0826372962122052,-0.5945311783862396,0.5521568953054627,qwen,acknowledge,race_ambiguity_z,attribute,0.9066590969751228,0.9163382096227284
-0.0349285950216552,0.0280385833425618,-1.2457332310593043,0.2128623493546772,qwen,acknowledge,age_rated_z,attribute,0.8218453814835379,0.9163382096227284
0.0314108135514735,0.0698952975259377,0.4493980949121393,0.6531445053578171,qwen,acknowledge,luminance_z,attribute,0.9066590969751228,0.9163382096227284
-0.0610249055972931,0.2095208564978772,-0.2912593362652247,0.7708529848195361,qwen,acknowledge,raceB,race,0.9163382096227284,0.9163382096227284
0.016726221204345,0.1592254900029158,0.1050473840842864,0.9163382096227284,qwen,acknowledge,raceI,race,0.9163382096227284,0.9163382096227284
0.0358127211472388,0.1339358944675277,0.2673870308599123,0.7891711839165882,qwen,acknowledge,raceL,race,0.9163382096227284,0.9163382096227284
-0.0663786372848997,0.2065167137986711,-0.3214201701350473,0.7478919998383423,qwen,acknowledge,raceW,race,0.9163382096227284,0.9163382096227284
-0.0937600422415172,0.0610136124689071,-1.5367069486222908,0.1243650887555962,qwen,acknowledge,genderM,gender,0.1243650887555962,0.9163382096227284
-0.0359855347507396,0.0388249877402839,-0.9268653216701956,0.3539964643541404,llama,baseline,threatening_z,attribute,0.9355170184434844,0.8166180276762826
-0.0101518298985474,0.040457550190931,-0.2509254725171929,0.8018717300944151,llama,baseline,trustworthy_z,attribute,0.9355170184434844,0.8747691601029983
-0.0008168908955677,0.0334347746183506,-0.0244323733266427,0.980507725847361,llama,baseline,attractive_z,attribute,0.980507725847361,0.980507725847361
0.0070954625331127,0.0269239938423708,0.2635367759573054,0.7921368819130195,llama,baseline,prototypic_z,attribute,0.9355170184434844,0.8747691601029983
0.0342934087065628,0.0701890375075855,0.488586393606789,0.6251345478777846,llama,baseline,race_ambiguity_z,attribute,0.9355170184434844,0.8335127305037127
-0.0300711331045127,0.0235788547316784,-1.2753432448995028,0.2021877775563769,llama,baseline,age_rated_z,attribute,0.9355170184434844,0.8166180276762826
-0.0424206952169426,0.059565541721587,-0.7121683777379132,0.4763605161444982,llama,baseline,luminance_z,attribute,0.9355170184434844,0.8166180276762826
0.1075448996596039,0.178153018605327,0.6036658850999017,0.5460657996470017,llama,baseline,raceB,race,0.5460657996470017,0.8190986994705026
0.1103612457007851,0.135703570188101,0.8132523377816189,0.416073397588335,llama,baseline,raceI,race,0.5460657996470017,0.8166180276762826
0.1178580601118537,0.113764833827565,1.035979714878262,0.3002116061732672,llama,baseline,raceL,race,0.5460657996470017,0.8166180276762826
0.194421417421535,0.1756655207720108,1.1067705066258662,0.2683931627894782,llama,baseline,raceW,race,0.5460657996470017,0.8166180276762826
0.0629845560044641,0.0518174784332131,1.2155079310863048,0.2241724257095983,llama,baseline,genderM,gender,0.2241724257095983,0.8166180276762826
-0.0231461335235351,0.0388312191151553,-0.596070225219931,0.5511283140750439,llama,ignore,threatening_z,attribute,0.6429830330875513,0.8018222220527544
-0.0800641603642365,0.0402656015054511,-1.9884009519489596,0.0467673636058403,llama,ignore,trustworthy_z,attribute,0.16368577262044104,0.2806041816350418
0.0825244195067079,0.033620653427394,2.4545751225485466,0.0141051189679574,llama,ignore,attractive_z,attribute,0.0987358327757018,0.1692614276154888
-0.003597610910611,0.027120725029604,-0.1326517232368997,0.8944688246118078,llama,ignore,prototypic_z,attribute,0.8944688246118078,0.8944688246118078
0.0584654750213965,0.0701337179143842,0.8336286277132539,0.4044902884284496,llama,ignore,race_ambiguity_z,attribute,0.5662864037998294,0.8018222220527544
-0.023018338193201,0.0235143310585603,-0.9789067839470288,0.3276260399132395,llama,ignore,age_rated_z,attribute,0.5662864037998294,0.8018222220527544
-0.0625027329633366,0.0593712156445189,-1.052744706080593,0.2924580131551051,llama,ignore,luminance_z,attribute,0.5662864037998294,0.8018222220527544
-0.0608907897525835,0.179896350612436,-0.3384770705202634,0.7350037035483583,llama,ignore,raceB,race,0.7350037035483583,0.8018222220527544
-0.0655454038719782,0.1361271556381124,-0.4815013107761364,0.6301602483547446,llama,ignore,raceI,race,0.7350037035483583,0.8018222220527544
-0.0411964423089213,0.1146174252581926,-0.3594256476807109,0.7192766907947714,llama,ignore,raceL,race,0.7350037035483583,0.8018222220527544
