model,prompt,vignette,predictor,Estimate,SE,z,p_value,p_adj
qwen,acknowledge,1,threatening_z,0.3484254295874867,0.814003431817604,0.4280392636791233,0.6686225346443946,0.8023470415732735
qwen,acknowledge,1,trustworthy_z,-1.148122810018088,1.075801286608731,-1.067225726822969,0.2858699178731841,0.8005540529434659
qwen,acknowledge,1,attractive_z,-0.4905628919546135,0.7057135276923254,-0.6951303506378121,0.4869736158657663,0.8005540529434659
qwen,acknowledge,1,prototypic_z,1.6995649676032945,1.1311097779322803,1.502564119558913,0.132951481737655,0.8005540529434659
qwen,acknowledge,1,race_ambiguity_z,-2.6521634693442664,3.5174929746645502,-0.753992541974357,0.4508537000475517,0.8005540529434659
qwen,acknowledge,1,age_rated_z,-1.4359173442290876,1.1754536358195218,-1.221585692938005,0.221864341719622,0.8005540529434659
qwen,acknowledge,1,luminance_z,0.9175279245450864,1.4742630885813366,0.6223637637350137,0.5337027019623106,0.8005540529434659
qwen,acknowledge,1,raceB,-7.77352149670111,10.330632453767011,-0.7524729518246035,0.4517666898939473,0.8005540529434659
qwen,acknowledge,1,raceI,0.6060206681666359,2.909542163643297,0.2082872954168787,0.835004650905656,0.9109141646243519
qwen,acknowledge,1,raceL,-28.483264553742604,85568.82059581087,-0.0003328696639198,0.9997344084393034,0.9997344084393034
qwen,acknowledge,1,raceW,-8.239307104423819,9.159584786699636,-0.899528449847189,0.3683712490221867,0.8005540529434659
qwen,acknowledge,1,genderM,-0.6362525793766491,1.293548989538539,-0.4918658547316604,0.622814178011206,0.8023470415732735
qwen,ignore,1,threatening_z,1.526940926306415,1.1796464215813656,1.2944055933806733,0.1955253596254073,0.4164239010464888
qwen,ignore,1,trustworthy_z,1.9279797374157197,1.6066523864947255,1.1999980541043118,0.230140096175913,0.4164239010464888
qwen,ignore,1,attractive_z,-0.0609278771437344,0.7002339117834793,-0.0870107490060751,0.93066296804287,0.999819874529761
qwen,ignore,1,prototypic_z,1.9827317631825057,1.2492683987256792,1.587114318432291,0.1124867555451065,0.4164239010464888
qwen,ignore,1,race_ambiguity_z,-2.504924660591925,2.986440313763317,-0.8387660215567417,0.4016006214871123,0.6024009322306685
qwen,ignore,1,age_rated_z,-1.0391038499345528,1.7831253579434887,-0.5827430165274361,0.5600663104703669,0.6957705062272528
qwen,ignore,1,luminance_z,-0.9254165775477214,1.6714404879839386,-0.553664090466028,0.5798087551893774,0.6957705062272528
qwen,ignore,1,raceB,-10.523336542755509,6.288453551404707,-1.6734379059546074,0.0942411208755875,0.4164239010464888
qwen,ignore,1,raceI,-33.01613712815741,146248.42235356025,-0.0002257538002587,0.999819874529761,0.999819874529761
qwen,ignore,1,raceL,-5.904311218738494,4.662006550721889,-1.2664742433328926,0.2053433451186349,0.4164239010464888
qwen,ignore,1,raceW,-9.916829757233318,8.492368044765497,-1.1677343356951924,0.2429139422771185,0.4164239010464888
qwen,ignore,1,genderM,-2.409895875995499,1.580076539405627,-1.525176670809898,0.127215037778694,0.4164239010464888
qwen,baseline,1,threatening_z,-0.6736980301143389,0.7897255396473931,-0.8530786916365151,0.3936156671141784,0.5560418287670825
qwen,baseline,1,trustworthy_z,-0.6781494573778138,0.9287131134949856,-0.7302033830724792,0.4652658749476135,0.5560418287670825
qwen,baseline,1,attractive_z,-0.4997807945901312,0.7580509621327263,-0.6592970915623285,0.509705009703159,0.5560418287670825
qwen,baseline,1,prototypic_z,0.441663616678047,0.594249585603011,0.7432291538409264,0.4573429555664396,0.5560418287670825
qwen,baseline,1,race_ambiguity_z,6.947076193827468,4.129315843095906,1.682379468609255,0.092495280062394,0.2665719425765455
qwen,baseline,1,age_rated_z,0.5610208191927402,0.4714606387876735,1.189963218637645,0.2340608489459575,0.4012471696216414
qwen,baseline,1,luminance_z,-8.58854705053515,4.724877245045265,-1.8177291398504616,0.0691055416650165,0.2665719425765455
qwen,baseline,1,raceB,-40.046358489454775,1927025.4323046703,-2.0781437451793468e-05,0.9999834188119072,0.9999834188119072
qwen,baseline,1,raceI,-8.20285069915729,4.643633578469343,-1.7664724316730334,0.0773166227025666,0.2665719425765455
qwen,baseline,1,raceL,6.95577904604817,4.090669827696795,1.7004009951994934,0.0890555247649759,0.2665719425765455
qwen,baseline,1,raceW,11.8114971572232,7.412787381175198,1.59339483919619,0.1110716427402273,0.2665719425765455
qwen,baseline,1,genderM,-3.50692727929097,2.4622204523196456,-1.4242945939252154,0.1543612117826158,0.3087224235652316
llama,acknowledge,1,threatening_z,-0.0807783760366726,0.1258236802686018,-0.6419966087800892,0.5208753848928498,0.9342407690611894
llama,acknowledge,1,trustworthy_z,-0.0227937590977615,0.1302264832498883,-0.1750316719681602,0.8610547470873248,0.9342407690611894
llama,acknowledge,1,attractive_z,-0.0805649323325574,0.1087869673481942,-0.7405752205104988,0.4589510371458434,0.9342407690611894
llama,acknowledge,1,prototypic_z,-0.0284332044118857,0.088332454431585,-0.3218885357013116,0.747537138543887,0.9342407690611894
llama,acknowledge,1,race_ambiguity_z,-0.0295154463458139,0.228416696288583,-0.1292175520677521,0.8971855081022327,0.9342407690611894
llama,acknowledge,1,age_rated_z,-0.0062920329017723,0.0762573600488476,-0.0825104999404894,0.9342407690611894,0.9342407690611894
llama,acknowledge,1,luminance_z,-0.0393911364184425,0.192612344576417,-0.2045099264279734,0.8379550357497586,0.9342407690611894
llama,acknowledge,1,raceB,-0.203119249885026,0.5811094557357018,-0.3495369897704917,0.7266862060313678,0.9342407690611894
llama,acknowledge,1,raceI,0.2265050457902224,0.4367580237427961,0.5186053454706757,0.6040359806630049,0.9342407690611894
llama,acknowledge,1,raceL,-0.1287907339782236,0.3697880852002053,-0.3482825410897044,0.7276280042387682,0.9342407690611894
llama,acknowledge,1,raceW,-0.2770970785577239,0.5702711851668526,-0.4859040501522965,0.6270351966774104,0.9342407690611894
llama,acknowledge,1,genderM,-0.0720959805904314,0.1675395931591891,-0.4303220464545886,0.6669613920637736,0.9342407690611894
llama,ignore,1,threatening_z,0.0777307734039441,0.1193579516219325,0.6512408461076572,0.5148910269718104,0.8336366885658608
llama,ignore,1,trustworthy_z,-0.012487910871935,0.1251886644105685,-0.0997527286574425,0.9205406378497456,0.9829377756719886
llama,ignore,1,attractive_z,-0.0689622569958695,0.102778487555311,-0.6709794883754926,0.5022335964847086,0.8336366885658608
llama,ignore,1,prototypic_z,-0.0017736510680019,0.082935314306305,-0.0213859570297317,0.9829377756719886,0.9829377756719886
llama,ignore,1,race_ambiguity_z,0.1269131283308384,0.2154157838625985,0.5891542674133345,0.5557577923772405,0.8336366885658608
