Estimate,SE,z,p_value,model,prompt,predictor,analysis,family,p_adj_m_p_f,p_adj_m_p
-0.033343363531835,0.0540003603829479,-0.6174655742179838,0.5369276814311019,qwen,baseline,threatening_z,borderline_only,attribute,0.6264156283362856,0.6443132177173223
-0.0360683520235271,0.056269240157634,-0.6409958962034028,0.5215253492353713,qwen,baseline,trustworthy_z,borderline_only,attribute,0.6264156283362856,0.6443132177173223
0.0775872130024012,0.0468043150189767,1.6576935902372156,0.0973793282390207,qwen,baseline,attractive_z,borderline_only,attribute,0.22721843255771496,0.26143266717179303
0.0412455521952621,0.0376469891585336,1.0955870075446072,0.273259550036052,qwen,baseline,prototypic_z,borderline_only,attribute,0.47820421256309104,0.4684449429189463
0.1931363216982678,0.0980142978611958,1.970491304970427,0.0487820905303613,qwen,baseline,race_ambiguity_z,borderline_only,attribute,0.17073731685626453,0.1951283621214452
0.0128981341115357,0.0330800455702521,0.3899067818435742,0.6966054788471254,qwen,baseline,age_rated_z,borderline_only,attribute,0.6966054788471254,0.7599332496514095
-0.2064715699847259,0.0828159075491671,-2.4931390127210205,0.012661926258826,qwen,baseline,luminance_z,borderline_only,attribute,0.08863348381178199,0.0822545160148494
-0.01487851832227,0.2485173013846753,-0.0598691448819488,0.952259854614952,qwen,baseline,raceB,borderline_only,race,0.952259854614952,0.952259854614952
-0.1808003415873393,0.1886583965900257,-0.9583477059875436,0.3378874553075578,qwen,baseline,raceI,borderline_only,race,0.45051660707674374,0.5068311829613368
0.2174568205882535,0.1589998010084757,1.3676546713203854,0.1714201947861533,qwen,baseline,raceL,borderline_only,race,0.3428403895723066,0.3428403895723066
0.3926200913804921,0.2449252879454183,1.6030198215710076,0.1089302779882471,qwen,baseline,raceW,borderline_only,race,0.3428403895723066,0.26143266717179303
-0.1781978188137326,0.0722971555286477,-2.464797093477926,0.0137090860024749,qwen,baseline,genderM,borderline_only,gender,0.0137090860024749,0.0822545160148494
-0.0020071016787158,0.0551332041462051,-0.0364045897530871,0.9709597545132193,qwen,ignore,threatening_z,borderline_only,attribute,0.9709597545132193,0.9709597545132193
0.0204603017478068,0.0574423835902416,0.3561882440979113,0.7216995952448623,qwen,ignore,trustworthy_z,borderline_only,attribute,0.9709597545132193,0.9709597545132193
-0.0157917029741034,0.0477333422986105,-0.330831704080422,0.7407716116958359,qwen,ignore,attractive_z,borderline_only,attribute,0.9709597545132193,0.9709597545132193
-0.0151562914058927,0.0383896008849485,-0.3948020051397589,0.6929890150033329,qwen,ignore,prototypic_z,borderline_only,attribute,0.9709597545132193,0.9709597545132193
0.043390628092138,0.0998694450527367,0.4344735075800744,0.663944628782621,qwen,ignore,race_ambiguity_z,borderline_only,attribute,0.9709597545132193,0.9709597545132193
-0.005270302763581,0.0338102029342431,-0.1558790633061608,0.8761283486225098,qwen,ignore,age_rated_z,borderline_only,attribute,0.9709597545132193,0.9709597545132193
-0.0352074009567564,0.0844627891543967,-0.4168391940313252,0.6767960320734568,qwen,ignore,luminance_z,borderline_only,attribute,0.9709597545132193,0.9709597545132193
0.10124354392923,0.2534942863531366,0.3993918181973938,0.6896045216387575,qwen,ignore,raceB,borderline_only,race,0.8175557131425994,0.9709597545132193
0.0444127543595562,0.1925214433955827,0.2306899095302298,0.8175557131425994,qwen,ignore,raceI,borderline_only,race,0.8175557131425994,0.9709597545132193
0.2090804183954274,0.1619740881205207,1.290826334147077,0.196763904065605,qwen,ignore,raceL,borderline_only,race,0.62265715583718,0.9709597545132193
0.2527048698442981,0.2496002897162644,1.012438207229498,0.31132857791859,qwen,ignore,raceW,borderline_only,race,0.62265715583718,0.9709597545132193
0.0094117183687429,0.0737647676655322,0.1275909714976396,0.8984726764331277,qwen,ignore,genderM,borderline_only,gender,0.8984726764331277,0.9709597545132193
-0.0168510093140187,0.0539075959660676,-0.312590628686645,0.7545916988112409,qwen,acknowledge,threatening_z,borderline_only,attribute,0.9228947880912685,0.9731092905018882
0.0831231392897659,0.0561119791760195,1.4813795647630654,0.1385054570924526,qwen,acknowledge,trustworthy_z,borderline_only,attribute,0.7366491825656699,0.8210463160392583
-0.0123420282019262,0.0465835521694567,-0.2649439046002709,0.7910526755068015,qwen,acknowledge,attractive_z,borderline_only,attribute,0.9228947880912685,0.9731092905018882
-0.0390833822530019,0.0375263914898268,-1.0414905537506094,0.2976479350477185,qwen,acknowledge,prototypic_z,borderline_only,attribute,0.7366491825656699,0.8210463160392583
-0.0032928580446819,0.0976851545602185,-0.0337088891296374,0.9731092905018882,qwen,acknowledge,race_ambiguity_z,borderline_only,attribute,0.9731092905018882,0.9731092905018882
-0.0332178859973702,0.0331079882870523,-1.0033193714267696,0.3157067925281442,qwen,acknowledge,age_rated_z,borderline_only,attribute,0.7366491825656699,0.8210463160392583
0.0408678394151822,0.0825880946756728,0.4948393539731372,0.6207135225349455,qwen,acknowledge,luminance_z,borderline_only,attribute,0.9228947880912685,0.9731092905018882
0.0520009796054037,0.2475750368020101,0.210041287995404,0.8336354485651304,qwen,acknowledge,raceB,borderline_only,race,0.9590005246207828,0.9731092905018882
0.0096701061295411,0.188105609204849,0.0514078563123034,0.9590005246207828,qwen,acknowledge,raceI,borderline_only,race,0.9590005246207828,0.9731092905018882
0.1503791128965408,0.1582906481307121,0.9500189346142665,0.3421026316830243,qwen,acknowledge,raceL,borderline_only,race,0.9590005246207828,0.8210463160392583
0.0488642525469523,0.2441228446143564,0.2001625559629362,0.8413534505456117,qwen,acknowledge,raceW,borderline_only,race,0.9590005246207828,0.9731092905018882
-0.1022884517502422,0.072060792647911,-1.4194744186346029,0.1557607497469154,qwen,acknowledge,genderM,borderline_only,gender,0.1557607497469154,0.8210463160392583
-0.0330904504872575,0.0439101747142678,-0.7535941431019931,0.4510929622754133,llama,baseline,threatening_z,borderline_only,attribute,0.9046557918730868,0.7733022210435656
-0.0687722734047682,0.0454914544435397,-1.5117624671711196,0.1305943007833868,llama,baseline,trustworthy_z,borderline_only,attribute,0.4570800527418538,0.6071687668749033
0.0174877702976089,0.0376562685496573,0.4644052895083808,0.6423574011045151,llama,baseline,attractive_z,borderline_only,attribute,0.9046557918730868,0.7754192501769316
0.0019721450810107,0.0302803249691939,0.065129587711398,0.9480708228504636,llama,baseline,prototypic_z,borderline_only,attribute,0.9790503211921496,0.9790503211921496
0.0361511627170556,0.078748409051148,0.4590716581153403,0.6461827084807763,llama,baseline,race_ambiguity_z,borderline_only,attribute,0.9046557918730868,0.7754192501769316
-0.0541577335403568,0.0263528089471002,-2.055102879130317,0.0398690689037141,llama,baseline,age_rated_z,borderline_only,attribute,0.27908348232599867,0.47842882684456917
-0.0017679124551719,0.0673245622158319,-0.0262595462485789,0.9790503211921496,llama,baseline,luminance_z,borderline_only,attribute,0.9790503211921496,0.9790503211921496
0.1975062350097095,0.2014422778507873,0.9804606913550028,0.3268587639927763,llama,baseline,raceB,borderline_only,race,0.43581168532370174,0.6537175279855526
0.1957616966873948,0.1535659226616558,1.27477303098492,0.2023895889583011,llama,baseline,raceI,borderline_only,race,0.43581168532370174,0.6071687668749033
0.0596493683876867,0.1278705436964898,0.4664824803534811,0.6408701850876733,llama,baseline,raceL,borderline_only,race,0.6408701850876733,0.7754192501769316
0.1941253565565478,0.1976200817477905,0.9823159409694868,0.3259442235803674,llama,baseline,raceW,borderline_only,race,0.43581168532370174,0.6537175279855526
0.0780822710506565,0.0584505393921014,1.3358691273464622,0.1815920533945524,llama,baseline,genderM,borderline_only,gender,0.1815920533945524,0.6071687668749033
-0.0465027956712066,0.0436819241683452,-1.0645775468129597,0.2870671449970518,llama,ignore,threatening_z,borderline_only,attribute,0.5590799170691203,0.9584227149756348
-0.0874859822510254,0.0454166742915762,-1.9262965335013984,0.054067358029021,llama,ignore,trustworthy_z,borderline_only,attribute,0.18923575310157348,0.324404148174126
0.1071784128607758,0.0379608693795244,2.8233919457752523,0.0047518440583922,llama,ignore,attractive_z,borderline_only,attribute,0.0332629084087454,0.0570221287007064
0.004353334266231,0.030493573844825,0.1427623501392199,0.886477872672324,llama,ignore,prototypic_z,borderline_only,attribute,0.900503573230245,0.999584540532782
0.0577266802741417,0.0786922485701037,0.7335751782809382,0.4632076935562814,llama,ignore,race_ambiguity_z,borderline_only,attribute,0.6484907709787939,0.999584540532782
-0.0261894112391081,0.0263067685657082,-0.9955388923460116,0.3194742383252116,llama,ignore,age_rated_z,borderline_only,attribute,0.5590799170691203,0.9584227149756348
-0.0083512726522477,0.0667966968320582,-0.1250252340058774,0.900503573230245,llama,ignore,luminance_z,borderline_only,attribute,0.900503573230245,0.999584540532782
0.0728695113325307,0.2022617549277797,0.3602733070250961,0.718642758830583,llama,ignore,raceB,borderline_only,race,0.999584540532782,0.999584540532782
-7.97066940707853e-05,0.1530756734074349,-0.0005207012472754,0.999584540532782,llama,ignore,raceI,borderline_only,race,0.999584540532782,0.999584540532782
-0.0358469576109369,0.1287451232038631,-0.2784335182481016,0.7806795925174714,llama,ignore,raceL,borderline_only,race,0.999584540532782,0.999584540532782
0.1117193618626289,0.1972923991407982,0.5662628785962509,0.5712150912145529,llama,ignore,raceW,borderline_only,race,0.999584540532782,0.999584540532782
-0.0008875149625418,0.0582191853692768,-0.0152443727426352,0.987837221437862,llama,ignore,genderM,borderline_only,gender,0.987837221437862,0.999584540532782
-0.0345711408160381,0.0419350176116607,-0.8243979085971581,0.4097135028078998,llama,acknowledge,threatening_z,borderline_only,attribute,0.6523200161721823,0.7393532367949784
-0.0280855454310851,0.0436186262398418,-0.6438888120101189,0.5196475372217131,llama,acknowledge,trustworthy_z,borderline_only,attribute,0.6523200161721823,0.7393532367949784
0.0604398039213087,0.0361884247966433,1.6701418826860592,0.0948912953084132,llama,acknowledge,attractive_z,borderline_only,attribute,0.3321195335794462,0.5693477718504791
0.0543008282950482,0.0292312153736854,1.8576315627276672,0.0632213531825295,llama,acknowledge,prototypic_z,borderline_only,attribute,0.3321195335794462,0.5693477718504791
-0.0342805952310753,0.07608753685053,-0.4505415295335124,0.6523200161721823,llama,acknowledge,race_ambiguity_z,borderline_only,attribute,0.6523200161721823,0.7393532367949784
-0.0276617114722049,0.0256073621652324,-1.0802249483455866,0.280042021273022,llama,acknowledge,age_rated_z,borderline_only,attribute,0.6523200161721823,0.7393532367949784
-0.0341690595799625,0.0641929214115195,-0.5322870314768205,0.5945272128237623,llama,acknowledge,luminance_z,borderline_only,attribute,0.6523200161721823,0.7393532367949784
-0.109416593975309,0.1928975510058098,-0.5672264546894821,0.5705603367362384,llama,acknowledge,raceB,borderline_only,race,0.7563230385058276,0.7393532367949784
0.0721216312643239,0.146297658638015,0.4929787115921984,0.6220276294280637,llama,acknowledge,raceI,borderline_only,race,0.7563230385058276,0.7393532367949784
0.051361737691171,0.1235998828407333,0.4155484334669968,0.6777404670620636,llama,acknowledge,raceL,borderline_only,race,0.7563230385058276,0.7393532367949784
-0.0589486770974863,0.1899652936099255,-0.3103128786173516,0.7563230385058276,llama,acknowledge,raceW,borderline_only,race,0.7563230385058276,0.7563230385058276
0.0248717815748868,0.0559495505379592,0.4445394348255301,0.656652624438603,llama,acknowledge,genderM,borderline_only,gender,0.656652624438603,0.7393532367949784
