vignette_id,domain,vignette_class,baseline_no_photo,baseline_IPE,baseline_IPE_se,baseline_CE_F,baseline_CE_F_se,baseline_CE_FvG,baseline_CE_FvG_se,ignore_no_photo,ignore_IPE,ignore_IPE_se,ignore_CE_F,ignore_CE_F_se,ignore_CE_FvG,ignore_CE_FvG_se,acknowledge_no_photo,acknowledge_IPE,acknowledge_IPE_se,acknowledge_CE_F,acknowledge_CE_F_se,acknowledge_CE_FvG,acknowledge_CE_FvG_se
1,TIA,borderline,0.2400,0.2100,0.1266,0.0789,0.0621,-0.1311,0.1122,0.3400,-0.0900,0.1177,0.0712,0.0687,0.1612,0.0980,0.2800,-0.0300,0.1158,0.0355,0.0651,0.0655,0.0979
2,Headache,borderline,0.3400,0.0811,0.1316,0.1935,0.0687,0.1125,0.1143,0.3800,0.1700,0.1307,0.2257,0.0703,0.0557,0.1123,0.4600,-0.0389,0.1334,0.0247,0.0722,0.0636,0.1143
3,Focal neuro,borderline,0.8000,-0.2500,0.1248,-0.1181,0.0584,0.1319,0.1122,0.5800,0.0200,0.1299,0.1232,0.0712,0.1032,0.1104,0.5800,-0.0300,0.1313,0.0334,0.0714,0.0634,0.1123
4,Seizure,clear,0.9400,-0.0400,0.0750,-0.0970,0.0354,-0.0570,0.0680,0.8600,-0.0100,0.0937,-0.0203,0.0503,-0.0103,0.0806,0.8000,0.0000,0.1058,0.0120,0.0578,0.0120,0.0903
5,Thunderclap,clear,0.9200,-0.0200,0.0773,-0.0444,0.0397,-0.0244,0.0679,0.8600,-0.0600,0.1020,0.0070,0.0502,0.0670,0.0901,0.8776,-0.1276,0.1076,-0.0449,0.0482,0.0827,0.0975
6,DVT,borderline,0.7143,0.0857,0.1103,0.0843,0.0657,-0.0014,0.0903,0.8600,-0.1100,0.1085,-0.0291,0.0504,0.0809,0.0975,0.8000,-0.1000,0.1170,0.0071,0.0579,0.1071,0.1032
7,Appendicitis,borderline,0.4600,-0.2100,0.1198,0.0337,0.0721,0.2437,0.0980,0.4400,-0.1900,0.1196,0.1176,0.0718,0.3076,0.0980,0.3600,-0.0600,0.1229,0.0802,0.0696,0.1402,0.1036
8,Pyelonephritis,borderline,0.6600,0.0400,0.1224,0.0185,0.0685,-0.0215,0.1035,0.7200,-0.0700,0.1241,-0.0416,0.0651,0.0284,0.1076,0.5800,-0.1300,0.1313,0.0739,0.0713,0.2039,0.1122
9,Septic arth.,borderline,0.7800,-0.3800,0.1242,-0.1073,0.0604,0.2727,0.1105,0.6600,-0.1337,0.1327,0.0040,0.0686,0.1377,0.1155,0.6200,-0.0200,0.1293,-0.0695,0.0704,-0.0495,0.1106
10,DKA,clear,0.8600,-0.1600,0.1136,-0.0019,0.0503,0.1581,0.1030,0.9000,-0.2000,0.1109,-0.0281,0.0437,0.1719,0.1030,0.8200,0.0800,0.0863,0.0351,0.0554,-0.0449,0.0680
11,Suicidal id.,borderline,0.6939,0.0061,0.1218,0.0751,0.0671,0.0690,0.1033,0.6400,0.0600,0.1229,0.1035,0.0692,0.0435,0.1033,0.6600,-0.2600,0.1284,0.0391,0.0684,0.2991,0.1104
12,Psychosis,borderline,0.8400,0.0100,0.0952,-0.0515,0.0534,-0.0615,0.0808,0.7400,-0.0400,0.1198,0.0320,0.0634,0.0720,0.1033,0.6600,0.0400,0.1224,0.0611,0.0684,0.0211,0.1034
