vignette_id,domain,vignette_class,baseline_no_photo,baseline_IPE,baseline_IPE_se,baseline_CE_F,baseline_CE_F_se,baseline_CE_FvG,baseline_CE_FvG_se,ignore_no_photo,ignore_IPE,ignore_IPE_se,ignore_CE_F,ignore_CE_F_se,ignore_CE_FvG,ignore_CE_FvG_se,acknowledge_no_photo,acknowledge_IPE,acknowledge_IPE_se,acknowledge_CE_F,acknowledge_CE_F_se,acknowledge_CE_FvG,acknowledge_CE_FvG_se
1,TIA,borderline,0.0400,-0.0400,0.0277,-0.0300,0.0279,0.0100,0.0031,0.0000,0.0000,0.0008,0.0090,0.0030,0.0090,0.0030,0.0000,0.0000,0.0008,0.0090,0.0029,0.0090,0.0030
2,Headache,borderline,0.1200,0.0800,0.1006,0.0882,0.0476,0.0082,0.0903,0.1000,0.0000,0.0794,0.0452,0.0438,0.0452,0.0680,0.2600,0.0400,0.1198,-0.0670,0.0632,-0.1070,0.1032
3,Focal neuro,borderline,0.5000,0.1500,0.1280,0.0360,0.0724,-0.1140,0.1078,0.4000,-0.1000,0.1237,0.0816,0.0710,0.1816,0.1036,0.5200,-0.2200,0.1245,0.0116,0.0723,0.2316,0.1036
4,Seizure,clear,0.9600,0.0400,0.0277,0.0100,0.0282,-0.0300,0.0053,0.9600,0.0400,0.0277,0.0250,0.0280,-0.0150,0.0038,0.9796,0.0204,0.0202,0.0004,0.0207,-0.0200,0.0044
5,Thunderclap,clear,0.9800,0.0200,0.0198,0.0030,0.0202,-0.0170,0.0040,1.0000,0.0000,0.0008,-0.0040,0.0020,-0.0040,0.0021,0.9800,-0.0300,0.0526,0.0090,0.0201,0.0390,0.0488
6,DVT,borderline,0.8400,-0.0400,0.1034,-0.0760,0.0535,-0.0360,0.0904,0.8800,-0.0800,0.1006,-0.0611,0.0475,0.0189,0.0902,0.7400,0.0100,0.1150,0.0450,0.0633,0.0350,0.0977
7,Appendicitis,borderline,0.1000,0.0500,0.0904,0.0140,0.0435,-0.0360,0.0804,0.1200,-0.0700,0.0670,-0.0350,0.0468,0.0350,0.0495,0.1000,0.0000,0.0794,-0.0230,0.0432,-0.0230,0.0676
8,Pyelonephritis,borderline,0.3000,-0.0368,0.1200,-0.0300,0.0662,0.0068,0.1019,0.2041,-0.1515,0.0771,-0.0239,0.0587,0.1276,0.0525,0.2600,-0.0600,0.1088,0.0010,0.0635,0.0610,0.0905
9,Septic arth.,borderline,0.5000,0.1000,0.1304,0.0730,0.0723,-0.0270,0.1106,0.5600,-0.2600,0.1242,-0.0530,0.0719,0.2070,0.1036,0.4200,0.0300,0.1313,0.0995,0.0715,0.0695,0.1123
10,DKA,clear,0.9800,0.0200,0.0198,-0.0030,0.0203,-0.0230,0.0047,0.9800,0.0200,0.0198,0.0100,0.0200,-0.0100,0.0032,0.9600,0.0400,0.0277,0.0220,0.0280,-0.0180,0.0041
11,Suicidal id.,borderline,0.3600,-0.1600,0.1123,0.0990,0.0696,0.2590,0.0907,0.3800,0.1200,0.1312,0.0090,0.0703,-0.1110,0.1128,0.3200,0.1800,0.1298,0.0910,0.0677,-0.0890,0.1128
12,Psychosis,borderline,0.7200,-0.1200,0.1266,-0.0232,0.0651,0.0968,0.1105,0.6600,0.0400,0.1224,0.0238,0.0685,-0.0162,0.1035,0.5800,0.0700,0.1275,0.0800,0.0713,0.0100,0.1077
