model,prompt,group_type,group,admit_mean,baseline_no_photo,ce_no_photo,se_ce_no_photo,baseline_grey_rect,ce_grey_rect,se_ce_grey_rect
llama,baseline,race,Asian,0.6824,0.6874,-0.0049,0.0102,0.6351,0.0473,0.0124
llama,baseline,race,Black,0.7012,0.6874,0.0138,0.01,0.6351,0.0661,0.0123
llama,baseline,race,Indian,0.6937,0.6874,0.0063,0.0101,0.6351,0.0586,0.0123
llama,baseline,race,Latino,0.6902,0.6874,0.0028,0.0102,0.6351,0.0551,0.0124
llama,baseline,race,White,0.6959,0.6874,0.0086,0.0102,0.6351,0.0608,0.0124
llama,baseline,gender,Female,0.6863,0.6873,-0.001,0.0064,0.6351,0.0512,0.0079
llama,baseline,gender,Male,0.699,0.6873,0.0117,0.0064,0.6351,0.0639,0.0078
llama,ignore,race,Asian,0.728,0.665,0.063,0.0101,0.6105,0.1175,0.0125
llama,ignore,race,Black,0.7051,0.665,0.0401,0.0103,0.6105,0.0945,0.0127
llama,ignore,race,Indian,0.7095,0.665,0.0445,0.0103,0.6105,0.099,0.0127
llama,ignore,race,Latino,0.7072,0.665,0.0422,0.0102,0.6105,0.0966,0.0126
llama,ignore,race,White,0.7107,0.665,0.0457,0.0102,0.6105,0.1002,0.0126
llama,ignore,gender,Female,0.7128,0.665,0.0478,0.0065,0.6105,0.1023,0.008
llama,ignore,gender,Male,0.7114,0.665,0.0464,0.0065,0.6105,0.1009,0.008
llama,acknowledge,race,Asian,0.659,0.6248,0.0342,0.0107,0.5684,0.0906,0.0129
llama,acknowledge,race,Black,0.6383,0.6248,0.0135,0.0106,0.5684,0.0699,0.0128
llama,acknowledge,race,Indian,0.65,0.6248,0.0252,0.0107,0.5684,0.0816,0.0129
llama,acknowledge,race,Latino,0.6581,0.6248,0.0333,0.0106,0.5684,0.0896,0.0128
llama,acknowledge,race,White,0.6384,0.6248,0.0136,0.0107,0.5684,0.07,0.0129
llama,acknowledge,gender,Female,0.6466,0.6248,0.0218,0.0068,0.5684,0.0782,0.0082
llama,acknowledge,gender,Male,0.651,0.6248,0.0262,0.0067,0.5684,0.0825,0.0081
qwen,baseline,race,Asian,0.5504,0.5333,0.0171,0.0087,0.5386,0.0118,0.0103
qwen,baseline,race,Black,0.5483,0.5333,0.015,0.0088,0.5386,0.0097,0.0104
qwen,baseline,race,Indian,0.5462,0.5333,0.0129,0.0087,0.5386,0.0076,0.0103
qwen,baseline,race,Latino,0.5508,0.5333,0.0174,0.0089,0.5386,0.0122,0.0105
qwen,baseline,race,White,0.538,0.5333,0.0046,0.0088,0.5386,-0.0006,0.0104
qwen,baseline,gender,Female,0.5511,0.5333,0.0178,0.0055,0.5386,0.0125,0.0065
qwen,baseline,gender,Male,0.5424,0.5333,0.009,0.0056,0.5386,0.0038,0.0066
qwen,ignore,race,Asian,0.5125,0.5203,-0.0078,0.0084,0.4836,0.029,0.0096
qwen,ignore,race,Black,0.5238,0.5203,0.0035,0.0084,0.4836,0.0402,0.0096
qwen,ignore,race,Indian,0.5218,0.5203,0.0015,0.0084,0.4836,0.0383,0.0096
qwen,ignore,race,Latino,0.5268,0.5203,0.0064,0.0083,0.4836,0.0432,0.0095
qwen,ignore,race,White,0.5279,0.5203,0.0076,0.0083,0.4836,0.0444,0.0095
qwen,ignore,gender,Female,0.5204,0.5203,0.0001,0.0053,0.4836,0.0369,0.0061
qwen,ignore,gender,Male,0.5247,0.5203,0.0043,0.0053,0.4836,0.0411,0.0061
qwen,acknowledge,race,Asian,0.5348,0.51,0.0248,0.0087,0.5167,0.0181,0.0104
qwen,acknowledge,race,Black,0.5229,0.51,0.0129,0.0088,0.5167,0.0063,0.0105
qwen,acknowledge,race,Indian,0.5333,0.51,0.0234,0.0088,0.5167,0.0167,0.0105
qwen,acknowledge,race,Latino,0.5436,0.51,0.0336,0.0088,0.5167,0.0269,0.0105
qwen,acknowledge,race,White,0.5312,0.51,0.0213,0.0088,0.5167,0.0146,0.0105
qwen,acknowledge,gender,Female,0.5417,0.51,0.0317,0.0055,0.5167,0.025,0.0066
qwen,acknowledge,gender,Male,0.5247,0.51,0.0147,0.0055,0.5167,0.008,0.0066
