model,vignette_id,vignette_class,prompt,photo_id,cfd_name,race,gender,age_rated,female_prob,BlackProb,LatinoProb,OtherProb,WhiteProb,afraid,angry,disgusted,happy,sad,surprised,attractive,babyfaced,feminine,masculine,prototypic,threatening,trustworthy,Unusual,luminance,race_ambiguity,age_rated_z,female_prob_z,BlackProb_z,LatinoProb_z,OtherProb_z,WhiteProb_z,afraid_z,angry_z,disgusted_z,happy_z,sad_z,surprised_z,attractive_z,babyfaced_z,feminine_z,masculine_z,prototypic_z,threatening_z,trustworthy_z,Unusual_z,luminance_z,race_ambiguity_z,n_admits,n_total,admit_rate
llama,1,borderline,acknowledge,AF_1,AF-204,A,F,30.13793103,1.0,0.0,0.068965517,0.0,0.0,2.551724138,1.586206897,1.655172414,1.275862069,3.517241379,1.137931034,3.172413793,2.068965517,4.62962963,1.482758621,2.574468085,1.206896552,3.310344828,1.517241379,168.5,0.931034483,-0.06968671179795406,1.0026153608757988,-0.5196624786487102,-0.35575956938594544,-0.38848895044964266,-0.6486029324910125,0.7438531085061353,-1.2177780779493361,-0.9913335260654881,-1.950137448122818,1.3318198287894623,-1.7171502372832015,-0.06003580230786973,-0.7856742665202181,1.1059205023333731,-1.5808574371766337,-0.6897247380492721,-1.6323325796801709,-0.5790578367386525,-1.9531131061906288,0.902561624352308,1.1983343505313884,7,20,0.35
llama,1,borderline,acknowledge,AF_2,AF-215,A,F,30.44444444,1.0,0.0,0.0,0.0,0.0,2.111111111,3.074074074,2.423076923,1.518518519,3.115384615,1.296296296,2.814814815,2.703703704,4.296296296,1.925925926,3.723404255,2.333333333,3.37037037,2.222222222,172.5,1.0,0.2798894174655094,1.0026153608757988,-0.5196624786487102,-0.6801066789072386,-0.38848895044964266,-0.6486029324910125,-0.04131624912296263,0.7788732947219771,0.23168557041171475,-1.5745499430327863,0.7012759100978252,-1.3595654726165602,-0.5450572154851138,0.4840154672035277,0.8708543548966184,-1.2437303311774435,0.751615814279107,-0.0037898842777952775,-0.4535885027534624,-0.5861749487328906,1.0390720793648027,1.3770323819766206,6,20,0.3
llama,1,borderline,acknowledge,AF_3,AF-232,A,F,29.69230769,0.92,0.0,0.0,0.038461538,0.0,1.269230769,1.307692308,1.423076923,2.961538462,1.84,1.423076923,2.846153846,2.192307692,3.769230769,2.769230769,3.191489362,1.538461538,3.615384615,2.807692308,169.0,0.961538462,-0.5779166202598912,0.8424684267342358,-0.5196624786487102,-0.6801066789072386,0.06000701521875954,-0.6486029324910125,-1.5415411785341064,-1.5915322308953668,-1.3609852397517437,0.658979230358361,-1.2998998446074623,-1.0732980166255854,-0.5025512184371428,-0.538948456508952,0.499168567004151,-0.6022098083679102,0.08432852218496849,-1.1529734668481735,0.0585563794540856,0.5490351900246858,0.9196254312288699,1.277373865286954,5,20,0.25
llama,1,borderline,acknowledge,AF_4,AF-237,A,F,30.51851852,1.0,0.0,0.037037037,0.0,0.037037037,2.0,2.518518519,2.0,2.62962963,2.37037037,1.814814815,4.555555556,2.62962963,5.185185185,1.62962963,2.191489362,2.0,3.615384615,2.222222222,170.0,0.962962963,0.3643703221187568,1.0026153608757988,-0.5196624786487102,-0.50592026780293,-0.38848895044964266,-0.5484056218733319,-0.2393154781592059,0.03334252515253528,-0.4421366953041584,0.14524547167102125,-0.46770827433509216,-0.18876374343487715,1.8159577373457159,0.3358424200808833,1.4976974135526337,-1.4691294336422778,-1.1701715884072315,-0.4857055796347616,0.0585563794540856,-0.5861749487328906,0.9537530449819935,1.2810649204050029,5,20,0.25
llama,1,borderline,acknowledge,AF_5,AF-245,A,F,30.22222222,1.0,0.0,0.0,0.037037037,0.0,1.666666667,1.777777778,1.444444444,3.692307692,2.037037037,2.0,4.555555556,2.555555556,5.037037037,1.703703704,3.212765957,1.62962963,3.740740741,2.730769231,167.0,0.962962963,0.026446726315603446,1.0026153608757988,-0.5196624786487102,-0.6801066789072386,0.04339605827807232,-0.6486029324910125,-0.8333131652679353,-0.9606985022820099,-1.326953812769489,1.7900754443360392,-0.9907337024211157,0.22937973046644702,1.8159577373457159,0.187669372958238,1.3932235705608311,-1.4127796580260692,0.11102001296549367,-1.021167463364724,0.3205839949678882,0.3998834929474935,0.8513702037226224,1.2810649204050029,9,20,0.45
llama,1,borderline,acknowledge,AM_1,AM-214,A,M,29.22222222,0.0,0.037037037,0.259259259,0.407407407,0.0,1.925925926,2.259259259,1.814814815,2.851851852,2.259259259,1.666666667,3.888888889,2.592592593,1.925925926,4.62962963,1.511627907,2.444444444,3.407407407,2.925925926,119.0,0.592592593,-1.1140453952638814,-0.999221315893738,-0.4215270594265247,0.5391981988229222,4.362246145555222,-0.6486029324910125,-0.37131496418336823,-0.31457183532182686,-0.7370757339283782,0.48920455430221893,-0.6420500836971003,-0.5232785225559365,0.9117392444547683,0.26175589651956066,-0.8007271343826246,0.8130364810963377,-2.0230578588921055,0.1568486808411935,-0.37617125319035366,0.7782868718870285,-0.7867552564273155,0.32139030468882934,6,19,0.3157894736842105
llama,1,borderline,acknowledge,AM_2,AM-236,A,M,31.75,0.0,0.0,0.071428571,0.0,0.0,1.892857143,1.464285714,1.571428571,2.321428571,2.178571429,1.821428571,2.888888889,2.607142857,1.428571429,4.392857143,2.604651163,1.5,3.62962963,1.892857143,159.0,0.928571429,1.7688652479298,-0.999221315893738,-0.5196624786487102,-0.3441757448857266,-0.38848895044964266,-0.6486029324910125,-0.43024330609479766,-1.3813908662128012,-1.1247099003424994,-0.33179301964423424,-0.7686554443049526,-0.17383004930931473,-0.44458849420348945,0.2908613154184713,-1.1514607502415624,0.6329184479699067,-0.6518600633602587,-1.2085791233930843,0.08833224627856288,-1.2248046344748367,0.5783492936976328,1.1919522784424732,10,20,0.5
llama,1,borderline,acknowledge,AM_3,AM-237,A,M,29.44,0.0,0.0,0.0,0.0,0.0,2.653846154,2.0,2.692307692,2.307692308,2.576923077,2.038461538,3.269230769,2.230769231,2.0,4.038461538,3.651162791,1.923076923,3.423076923,2.615384615,170.0,1.0,-0.8656715529188085,-0.999221315893738,-0.5196624786487102,-0.6801066789072386,-0.38848895044964266,-0.6486029324910125,0.9258338326087582,-0.662486194454233,0.6604815573958757,-0.3530542255566697,-0.14361132000798868,0.3162249125521942,0.071279747813941,-0.46201245011815395,-0.748490212886723,0.36332192461518364,0.6609888897017643,-0.5969168941703302,-0.343417800728562,0.17615594636221887,0.9537530449819935,1.3770323819766206,5,20,0.25
llama,1,borderline,acknowledge,AM_4,AM-242,A,M,29.36,0.0,0.0,0.0,0.0,0.0,1.16,1.2,1.44,2.64,1.56,1.24,2.4,2.24,1.48,3.96,3.720930233,1.16,4.16,2.12,159.5,1.0,-0.9569109226451693,-0.999221315893738,-0.5196624786487102,-0.6801066789072386,-0.38848895044964266,-0.6486029324910125,-1.7361896511700787,-1.736050503707794,-1.3340323489956951,0.16129689496993005,-1.7392412046390637,-1.486681088140649,-1.1076820554760074,-0.44354780930448306,-1.1151934021546543,0.30363450873466075,0.748512153406499,-1.700133133148744,1.1969472603567177,-0.7843809811086041,0.5954131005741946,1.3770323819766206,9,20,0.45
llama,1,borderline,acknowledge,AM_5,AM-246,A,M,29.07142857,0.0,0.0,0.035714286,0.0,0.035714286,1.607142857,1.642857143,1.678571429,2.892857143,2.037037037,1.518518519,3.074074074,2.925925926,1.892857143,4.107142857,2.860465116,1.321428571,3.75,2.142857143,156.0,0.964285714,-1.2860243650730963,-0.999221315893738,-0.5196624786487102,-0.5121412095449661,-0.38848895044964266,-0.5519840963829652,-0.9393841817777051,-1.1417559751792932,-0.9540665978884111,0.5526731946049219,-0.9907337024211157,-0.8577933016769965,-0.19341669099942843,0.928534608571462,-0.8240471885966805,0.41556931301554717,-0.3309414310307313,-1.4667482467835198,0.33993830683609844,-0.7400616194587046,0.4759664524382617,1.284492328913986,4,19,0.21052631578947367
