Estimate,SE,z,p_value,model,prompt,predictor,family,p_adj_m_p_f,p_adj_m_p
-0.0187181767374892,0.0447500252107258,-0.4182830434026834,0.6757401857440798,qwen,baseline,threatening_z,attribute,0.6757401857440798,0.7371711117208143
-0.0345333969589814,0.0466355222961364,-0.7404955548625304,0.4589993573990203,qwen,baseline,trustworthy_z,attribute,0.6425991003586284,0.6119991431986938
0.0601863049303808,0.0387457322999115,1.5533660446654731,0.1203357101358271,qwen,baseline,attractive_z,attribute,0.21058749273769742,0.206289788804275
0.0546315372909977,0.0311893449526361,1.751608998969381,0.0798410641289087,qwen,baseline,prototypic_z,attribute,0.18629581630078698,0.1596821282578174
0.2763941469306735,0.0812292431510787,3.402643385666003,0.0006673732648058,qwen,baseline,race_ambiguity_z,attribute,0.0023358064268202998,0.0040042395888348
0.0156479346821475,0.0274263103477672,0.5705446516039075,0.5683083462445577,qwen,baseline,age_rated_z,attribute,0.6630264039519841,0.6819700154934693
-0.2472233924176758,0.0686520979701019,-3.601104696397508,0.0003168679335668,qwen,baseline,luminance_z,attribute,0.0022180755349676,0.0038024152028016
0.0662021464066651,0.20579367518763,0.3216918418231564,0.7476861588806956,qwen,baseline,raceB,race,0.7476861588806956,0.7476861588806956
-0.1653241970299345,0.1562905197852731,-1.0578005451454944,0.2901463842332938,qwen,baseline,raceI,race,0.38686184564439174,0.4352195763499407
0.3323399321790181,0.1316346167443817,2.524715309684697,0.0115792049701586,qwen,baseline,raceL,race,0.0231584099403172,0.02779009192838064
0.5326853993378345,0.2028838443586786,2.625568344397592,0.0086504440758188,qwen,baseline,raceW,race,0.0231584099403172,0.025951332227456398
-0.1818880119555912,0.0599248266934727,-3.0352697202777748,0.0024032066446386,qwen,baseline,genderM,gender,0.0024032066446386,0.0096128265785544
-0.0254564313063764,0.0474316198771321,-0.5366974894030478,0.591476590524428,qwen,ignore,threatening_z,attribute,0.9216408372062819,0.8617940295954842
-0.0036582086526369,0.0493785589582716,-0.0740849617691026,0.940942781145258,qwen,ignore,trustworthy_z,attribute,0.940942781145258,0.940942781145258
-0.0131879777087247,0.0410485134973,-0.321277838954928,0.7479998488977737,qwen,ignore,attractive_z,attribute,0.9216408372062819,0.8617940295954842
-0.0266112733926693,0.0330498843270498,-0.8051850690106407,0.4207128912662524,qwen,ignore,prototypic_z,attribute,0.9216408372062819,0.8617940295954842
-0.0382902838514374,0.0859348204719437,-0.4455735596019381,0.6559053132446178,qwen,ignore,race_ambiguity_z,attribute,0.9216408372062819,0.8617940295954842
-0.007748907132299,0.0290941115620202,-0.26633936271883,0.7899778604625273,qwen,ignore,age_rated_z,attribute,0.9216408372062819,0.8617940295954842
