Estimate,SE,z,p_value,model,prompt,predictor,analysis,family,p_adj_m_p_f,p_adj_m_p
-0.0333392143778116,0.0539969081059117,-0.6174282111193984,0.5369523189850757,qwen,baseline,threatening_z,borderline_only,attribute,0.626444372149255,0.6443427827820908
-0.0360653862842322,0.0562662445617747,-0.6409773135762785,0.5215374226253096,qwen,baseline,trustworthy_z,borderline_only,attribute,0.626444372149255,0.6443427827820908
0.0775852850838544,0.046803407381175,1.6576845453149711,0.0973811548195341,qwen,baseline,attractive_z,borderline_only,attribute,0.22722269457891292,0.26140926878196075
0.0412450101913351,0.0376463363910778,1.0955916071851857,0.273257536225252,qwen,baseline,prototypic_z,borderline_only,attribute,0.478200688394191,0.4684414906718606
0.1931177464442493,0.0980010133526008,1.9705688730934343,0.04877320991556,qwen,baseline,race_ambiguity_z,borderline_only,attribute,0.17070623470446,0.19509283966224
0.0128960419376046,0.0330798591111938,0.3898457334493521,0.6966506235882137,qwen,baseline,age_rated_z,borderline_only,attribute,0.6966506235882137,0.7599824984598694
-0.2064782220404946,0.0828038453824088,-2.493582527320157,0.0126461182698349,qwen,baseline,luminance_z,borderline_only,attribute,0.0885228278888443,0.0821992681123902
-0.0149241941383958,0.2484399809053284,-0.0600716281011265,0.9520985866376058,qwen,baseline,raceB,borderline_only,race,0.9520985866376058,0.9520985866376058
-0.1808114752658863,0.1886184380898088,-0.9586097578636228,0.3377553749651799,qwen,baseline,raceI,borderline_only,race,0.45034049995357317,0.5066330624477698
0.2174494484595185,0.1589756224559312,1.3678163047909844,0.1713695827351355,qwen,baseline,raceL,borderline_only,race,0.342739165470271,0.342739165470271
0.3925816961535558,0.2448945894933003,1.603063983429882,0.1089205286591503,qwen,baseline,raceW,borderline_only,race,0.342739165470271,0.26140926878196075
-0.1782014375473926,0.0722915625029708,-2.465037846430132,0.0136998780187317,qwen,baseline,genderM,borderline_only,gender,0.0136998780187317,0.0821992681123902
-0.0020025703925018,0.0551320709364585,-0.0363231483687575,0.9710246923874905,qwen,ignore,threatening_z,borderline_only,attribute,0.9710246923874905,0.9710246923874905
0.0204623266356149,0.0574418977778836,0.3562265076049306,0.7216709420937775,qwen,ignore,trustworthy_z,borderline_only,attribute,0.9710246923874905,0.9710246923874905
-0.0157928065662783,0.0477329859965685,-0.3308572936839456,0.7407522815514493,qwen,ignore,attractive_z,borderline_only,attribute,0.9710246923874905,0.9710246923874905
-0.0151586432131142,0.0383891176317651,-0.3948682373613929,0.6929401320693691,qwen,ignore,prototypic_z,borderline_only,attribute,0.9710246923874905,0.9710246923874905
0.0433757089855043,0.0998625510278581,0.4343541051079705,0.6640313198521701,qwen,ignore,race_ambiguity_z,borderline_only,attribute,0.9710246923874905,0.9710246923874905
-0.0052708207350991,0.0338101574826945,-0.1558945928541437,0.8761161074774122,qwen,ignore,age_rated_z,borderline_only,attribute,0.9710246923874905,0.9710246923874905
-0.0352098561532645,0.0844701167964831,-0.416832099783843,0.6768012214673718,qwen,ignore,luminance_z,borderline_only,attribute,0.9710246923874905,0.9710246923874905
0.1012026179636427,0.2534755265499987,0.3992599180721308,0.6897016975721212,qwen,ignore,raceB,borderline_only,race,0.8175936164256159,0.9710246923874905
0.0444033394565873,0.1925213451682658,0.230641124067455,0.8175936164256159,qwen,ignore,raceI,borderline_only,race,0.8175936164256159,0.9710246923874905
0.2090674010736099,0.1619642556417126,1.2908243256839091,0.196764600670752,qwen,ignore,raceL,borderline_only,race,0.6227035093919312,0.9710246923874905
0.2526731053553617,0.2495808698665079,1.012389713564616,0.3113517546959656,qwen,ignore,raceW,borderline_only,race,0.6227035093919312,0.9710246923874905
0.0094035552136506,0.0737681220093337,0.1274745100934095,0.8985648465780891,qwen,ignore,genderM,borderline_only,gender,0.8985648465780891,0.9710246923874905
-0.016849766262872,0.0539003782008036,-0.3126094254867553,0.7545774162984479,qwen,acknowledge,threatening_z,borderline_only,attribute,0.922858619650299,0.973070414027337
0.0831236241429318,0.0561090022329012,1.4814668027404303,0.1384822248498917,qwen,acknowledge,trustworthy_z,borderline_only,attribute,0.7366019920101122,0.8207356056674621
-0.0123434874449035,0.0465819844959975,-0.2649841473792122,0.7910216739859706,qwen,acknowledge,attractive_z,borderline_only,attribute,0.922858619650299,0.973070414027337
