model,prompt,vignette,predictor,Estimate,SE,z,p_value,p_adj
qwen,acknowledge,1,threatening_z,0.3484243135421758,0.8140036705028915,0.4280377671109509,0.6686236242052868,0.8023483490463441
qwen,acknowledge,1,trustworthy_z,-1.1481248453395252,1.0758018575548896,-1.0672270523393714,0.2858693194608944,0.8005567630178009
qwen,acknowledge,1,attractive_z,-0.4905632002473525,0.705713969453866,-0.695130352353641,0.4869736147905717,0.8005567630178009
qwen,acknowledge,1,prototypic_z,1.699567803382203,1.131110793872455,1.5025652770614863,0.1329511830559961,0.8005567630178009
qwen,acknowledge,1,race_ambiguity_z,-2.652174291353549,3.5174922807525397,-0.7539957673442677,0.4508517633142292,0.8005567630178009
qwen,acknowledge,1,age_rated_z,-1.4359192779928875,1.1754541734249568,-1.2215867793544053,0.2218639306707842,0.8005567630178009
qwen,acknowledge,1,luminance_z,0.9175227948046932,1.4742613563474547,0.6223610154700757,0.5337045086785339,0.8005567630178009
qwen,acknowledge,1,raceB,-7.773558509826914,10.330626776290805,-0.7524769482203673,0.4517642874362162,0.8005567630178009
qwen,acknowledge,1,raceI,0.6060168974601545,2.9095370582463165,0.2082863649193122,0.8350053774041474,0.9109149571681607
qwen,acknowledge,1,raceL,-28.539547962416247,88009.9125026673,-0.0003242765178473,0.9997412647775132,0.9997412647775132
qwen,acknowledge,1,raceW,-8.239334561544574,9.159584142833696,-0.8995315107172075,0.3683696194284379,0.8005567630178009
qwen,acknowledge,1,genderM,-0.6362548265453726,1.2935489496142931,-0.4918676071246389,0.6228129391104776,0.8023483490463441
qwen,ignore,1,threatening_z,1.5269405454603604,1.179646670328675,1.2944049975870502,0.1955255653134058,0.416423760503041
qwen,ignore,1,trustworthy_z,1.9279812146832624,1.6066527620319546,1.199998693087185,0.2301398480123019,0.416423760503041
qwen,ignore,1,attractive_z,-0.0609280834007926,0.7002339807597838,-0.0870110349895945,0.9306627407231728,0.999813046036618
qwen,ignore,1,prototypic_z,1.982731188738596,1.2492681841677928,1.5871141311898562,0.1124867979450523,0.416423760503041
qwen,ignore,1,race_ambiguity_z,-2.504924795552352,2.986440210994076,-0.8387660956113884,0.4016005799225606,0.6024008698838409
qwen,ignore,1,age_rated_z,-1.03910209936761,1.7831246036289667,-0.5827422813037618,0.5600668054857909,0.6957697880282884
qwen,ignore,1,luminance_z,-0.9254180587794396,1.6714405237387762,-0.5536649648229243,0.5798081566902403,0.6957697880282884
qwen,ignore,1,raceB,-10.523339831238648,6.288453857460295,-1.6734383474491592,0.0942410340260867,0.416423760503041
qwen,ignore,1,raceI,-32.936917600961465,140568.6047963536,-0.000234312047478,0.999813046036618,0.999813046036618
qwen,ignore,1,raceL,-5.904311442745197,4.662006408445008,-1.2664743300330543,0.2053433140969696,0.416423760503041
qwen,ignore,1,raceW,-9.916831510421662,8.492368068463172,-1.16773453887948,0.2429138602934406,0.416423760503041
qwen,ignore,1,genderM,-2.4098961832155714,1.580076449326168,-1.525176952193221,0.1272149676140616,0.416423760503041
qwen,baseline,1,threatening_z,-0.6736990895009745,0.789725795964149,-0.8530797562190284,0.3936150767883942,0.5560420140480706
qwen,baseline,1,trustworthy_z,-0.6781507941389685,0.9287134756983784,-0.7302045376578707,0.4652651693068139,0.5560420140480706
qwen,baseline,1,attractive_z,-0.4997803937100227,0.7580506582546471,-0.6592968270230493,0.5097051795440648,0.5560420140480706
qwen,baseline,1,prototypic_z,0.4416646248284913,0.5942498325351825,0.7432305415119197,0.4573421155718754,0.5560420140480706
qwen,baseline,1,race_ambiguity_z,6.947080321309755,4.129317361355078,1.682379849590926,0.0924952062328294,0.26657166963170326
qwen,baseline,1,age_rated_z,0.561021535967292,0.4714608191703513,1.1899642836801247,0.2340604303225414,0.4012464519814995
qwen,baseline,1,luminance_z,-8.588552799860933,4.7248791574956766,-1.8177296209228588,0.0691054681009728,0.26657166963170326
qwen,baseline,1,raceB,-38.54749546885485,968288.510229718,-3.9809927580065774e-05,0.9999682362734256,0.9999682362734256
qwen,baseline,1,raceI,-8.202854856862222,4.643634848813472,-1.766472843780598,0.0773165536215305,0.26657166963170326
qwen,baseline,1,raceL,6.955781882572607,4.090670851105238,1.7004012632043617,0.0890554743881234,0.26657166963170326
qwen,baseline,1,raceW,11.811506767336722,7.412791052466174,1.5933953464676618,0.1110715290132097,0.26657166963170326
qwen,baseline,1,genderM,-3.5069311396120253,2.46222108331724,-1.42429579673946,0.1543608637418766,0.3087217274837532
llama,acknowledge,1,threatening_z,-0.0807783760366604,0.1258236802686023,-0.6419966087799905,0.5208753848929137,0.934240769061165
llama,acknowledge,1,trustworthy_z,-0.0227937590977571,0.1302264832498887,-0.1750316719681256,0.861054747087352,0.934240769061165
llama,acknowledge,1,attractive_z,-0.0805649323325621,0.1087869673481947,-0.7405752205105395,0.4589510371458188,0.934240769061165
llama,acknowledge,1,prototypic_z,-0.0284332044118896,0.0883324544315852,-0.3218885357013556,0.7475371385438536,0.934240769061165
llama,acknowledge,1,race_ambiguity_z,-0.0295154463458638,0.228416696288586,-0.1292175520679689,0.8971855081020612,0.934240769061165
llama,acknowledge,1,age_rated_z,-0.0062920329017746,0.0762573600488477,-0.08251049994052,0.934240769061165,0.934240769061165
llama,acknowledge,1,luminance_z,-0.0393911364184378,0.1926123445764164,-0.20450992642795,0.8379550357497769,0.934240769061165
llama,acknowledge,1,raceB,-0.2031192498851554,0.5811094557357026,-0.3495369897707139,0.726686206031201,0.934240769061165
llama,acknowledge,1,raceI,0.2265050457901664,0.4367580237427972,0.5186053454705462,0.6040359806630953,0.934240769061165
llama,acknowledge,1,raceL,-0.1287907339783155,0.3697880852002094,-0.3482825410899491,0.7276280042385844,0.934240769061165
llama,acknowledge,1,raceW,-0.2770970785578643,0.5702711851668599,-0.4859040501525365,0.6270351966772402,0.934240769061165
llama,acknowledge,1,genderM,-0.0720959805904341,0.1675395931591887,-0.4303220464546055,0.6669613920637614,0.934240769061165
llama,ignore,1,threatening_z,0.0777307734039445,0.1193579516219327,0.6512408461076588,0.5148910269718094,0.8336366885658981
llama,ignore,1,trustworthy_z,-0.012487910871936,0.1251886644105687,-0.0997527286574505,0.9205406378497392,0.9829377756719838
llama,ignore,1,attractive_z,-0.0689622569958692,0.1027784875553112,-0.6709794883754888,0.5022335964847109,0.8336366885658981
llama,ignore,1,prototypic_z,-0.0017736510680024,0.0829353143063049,-0.0213859570297377,0.9829377756719838,0.9829377756719838
llama,ignore,1,race_ambiguity_z,0.1269131283308301,0.215415783862598,0.5891542674132975,0.5557577923772654,0.8336366885658981
llama,ignore,1,age_rated_z,-0.0989464865430397,0.072716523429628,-1.360715307557243,0.1736036752041519,0.8336366885658981
llama,ignore,1,luminance_z,0.0572531796342924,0.1802952064386735,0.3175524228580464,0.7508244683959133,0.9829377756719838
llama,ignore,1,raceB,0.0151542375833009,0.5382684907776054,0.0281536776589105,0.9775395824371604,0.9829377756719838
llama,ignore,1,raceI,-0.2771676703559352,0.4133768763535944,-0.6704963102939785,0.5025414577554055,0.8336366885658981
llama,ignore,1,raceL,-0.2738497285563606,0.3459808653723499,-0.7915169767022789,0.4286423734456234,0.8336366885658981
llama,ignore,1,raceW,-0.5395838533072311,0.5369264609569618,-1.0049492668801103,0.3149212795847139,0.8336366885658981
llama,ignore,1,genderM,0.1172970313698054,0.1580331440766407,0.7422305748275205,0.4579476468694588,0.8336366885658981
llama,baseline,1,threatening_z,-0.1604148672998835,0.127499569411665,-1.2581600709720289,0.2083338721184625,0.9497512523259126
llama,baseline,1,trustworthy_z,-0.0864388652615623,0.133507895768605,-0.6474438441556865,0.5173447276226347,0.9497512523259126
